id,country,year,life_expectancy,country_name
808977,FRA,2019,82.47668,France
816818,SDN,2010,66.55967,Sudan
827245,PAK,2015,64.18282,Pakistan
833121,STP,2019,70.41647,São Tomé & Príncipe
843511,GAB,2015,64.93317,Gabon
5347245,SAU,2000,70.52375,Saudi Arabia
5352819,LSO,2015,47.66742,Lesotho
5395615,GTM,2010,69.3014,Guatemala
5397694,SVK,2010,75.46777,Slovakia
5407032,ROU,2019,75.5658,Romania
5447745,URY,2019,77.0994,Uruguay
5465553,KEN,2015,64.16978,Kenya
5473790,ISR,2015,81.93443,Israel
5503818,COM,2015,66.45436,Comoros
5510635,SUR,2010,71.83333,Suriname
5519645,TUN,2000,74.11952,Tunisia
5538314,MMR,2010,64.78619,Myanmar (Burma)
5549956,SWZ,2000,47.04535,Eswatini
5551658,CZE,2010,77.56047,Czechia
5554822,ARG,2000,74.08556,Argentina
5561508,MAR,2019,72.98804,Morocco
5564312,ARG,2015,76.16682,Argentina
5564587,CAN,2019,82.23827,Canada
5571376,TLS,2000,62.66777,Timor-Leste
5577615,VEN,2019,73.94636,Venezuela
5584449,MYS,2015,74.95027,Malaysia
5602960,BOL,2019,72.13765,Bolivia
5626682,DZA,2019,77.13415,Algeria
5632992,SVK,2015,77.01103,Slovakia
5648077,PER,2015,79.07546,Peru
5650613,MWI,2010,56.79726,Malawi
5660742,SRB,2019,75.87003,Serbia
5667702,BRN,2019,74.32442,Brunei
5687847,UKR,2000,67.52593,Ukraine
5696986,LBR,2000,53.77378,Liberia
5698060,SGP,2010,81.70047,Singapore
5698758,HUN,2019,76.44219,Hungary
5722921,ATG,2010,75.94979,Antigua & Barbuda
5722942,LCA,2019,74.32764,St. Lucia
5736356,MLT,2019,81.89443,Malta
5736752,GBR,2015,80.65246,United Kingdom
5754509,ATG,2000,74.56184,Antigua & Barbuda
5756874,FIN,2015,81.21355,Finland
5757717,GNB,2019,60.21801,Guinea-Bissau
5759987,ECU,2010,75.02002,Ecuador
5760843,NOR,2019,82.61812,Norway
5761339,SLB,2010,63.69107,Solomon Islands
5766197,TGO,2010,59.32759,Togo
5779215,GRD,2015,72.69942,Grenada
5782555,MNG,2000,60.52023,Mongolia
5790492,CMR,2019,62.35601,Cameroon
5790751,TTO,2019,76.12728,Trinidad & Tobago
5813278,ERI,2010,60.69732,Eritrea
5820995,HND,2010,71.14799,Honduras
5822599,UGA,2019,66.69038,Uganda
5849126,ESP,2010,81.69273,Spain
5851700,BRB,2015,76.21642,Barbados
5897207,ZWE,2015,58.47603,Zimbabwe
5929280,RWA,2019,69.10349,Rwanda
5930706,EGY,2010,70.1955,Egypt
5931642,SOM,2000,49.87339,Somalia
5955759,VUT,2010,64.52286,Vanuatu
5957062,ZAF,2015,62.57465,South Africa
5960690,EST,2000,70.94411,Estonia
5972470,LBN,2019,76.43958,Lebanon
5978191,CZE,2015,78.45764,Czechia
5996550,YEM,2010,67.70083,Yemen
5997321,BLZ,2010,73.38513,Belize
6012067,TUN,2010,76.0455,Tunisia
6014451,COM,2000,61.50557,Comoros
6017734,DJI,2019,65.81488,Djibouti
6035306,FJI,2010,67.60218,Fiji
6050135,THA,2015,77.41125,Thailand
6093064,BDI,2010,58.59703,Burundi
6094280,GRD,2000,71.96758,Grenada
6116966,KIR,2015,58.19797,Kiribati
6157543,CYP,2019,83.14104,Cyprus
6168423,EST,2010,75.87077,Estonia
6170626,BLR,2010,70.38769,Belarus
6176504,NIC,2000,73.25869,Nicaragua
6178901,LUX,2019,82.41467,Luxembourg
6183041,MWI,2000,44.72838,Malawi
6188180,POL,2019,78.26672,Poland
6197649,JPN,2010,82.68162,Japan
6199178,CUB,2000,76.76054,Cuba
6201005,LCA,2000,73.21431,St. Lucia
6203203,MDV,2019,79.59427,Maldives
6215436,LKA,2000,71.89227,Sri Lanka
6237757,MEX,2000,74.40966,Mexico
